symptom_name;disease_common_name
Abdominal Pain;Alzheimer's disease
Abdominal Pain;coronary artery disease
Abdominal Pain;atherosclerosis
Abdominal Pain;hypertension
Abdominal Pain;systemic scleroderma
Abdominal Pain;vitiligo
Abdominal Pain;type 2 diabetes mellitus
Abdominal Pain;obesity
Abdominal Pain;leprosy
Abdominal Pain;hepatitis B
Abdominal Pain;malaria
Abdominal Pain;uterine fibroid
Abdominal Pain;muscle cancer
Abdominal Pain;malignant glioma
Abdominal Pain;melanoma
Abdominal Pain;retroperitoneal cancer
Abdominal Pain;esophageal cancer
Abdominal Pain;rectum cancer
Abdominal Pain;stomach cancer
Abdominal Pain;liver cancer
Abdominal Pain;pancreatic cancer
Abdominal Pain;ovarian cancer
Abdominal Pain;head and neck cancer
Abdominal Pain;hematologic cancer
Abdominal Pain;brain cancer
Abdominal Pain;meningioma
Abdominal Pain;spinal cancer
Abdominal Pain;mediastinal cancer
Abdominal Pain;thymus cancer
Abdominal Pain;uterine cancer
Abdominal Pain;prostate cancer
Abdominal Pain;kidney cancer
Abdominal Pain;ankylosing spondylitis
Abdominal Pain;ulcerative colitis
Abdominal Pain;Crohn's disease
Abdominal Pain;asthma
Abdominal Pain;multiple sclerosis
Abdominal Pain;Parkinson's disease
Abdominal Pain;epilepsy syndrome
Abdominal Pain;migraine
Abdominal Pain;amyotrophic lateral sclerosis
Abdominal Pain;restless legs syndrome
Abdominal Pain;Graves' disease
Abdominal Pain;chronic kidney failure
Abdominal Pain;Kawasaki disease
Abdominal Pain;anemia
Abdominal Pain;systemic lupus erythematosus
Abdominal Pain;type 1 diabetes mellitus
Abdominal Pain;hypothyroidism
Abdominal Pain;panic disorder
Abdominal Pain;bipolar disorder
Abdominal Pain;endogenous depression
Abdominal Pain;schizophrenia
Abdominal Pain;polycystic ovary syndrome
Abdominal Pain;germ cell cancer
Abdominal Pain;malignant mesothelioma
Abdominal Pain;bone cancer
Abdominal Pain;bile duct cancer
Abdominal Pain;gallbladder cancer
Abdominal Pain;appendix cancer
Abdominal Pain;jejunal cancer
Abdominal Pain;adrenal gland cancer
Abdominal Pain;testicular cancer
Abdominal Pain;ocular cancer
Abdominal Pain;peripheral nervous system neoplasm
Abdominal Pain;vascular cancer
Abdominal Pain;ureter cancer
Abdominal Pain;urinary bladder cancer
Abdominal Pain;psoriatic arthritis
Abdominal Pain;gout
Abdominal Pain;sclerosing cholangitis
Abdominal Pain;celiac disease
Abdominal Pain;pancreatitis
Abdominal Pain;Behcet's disease
Abdominal Pain;intracranial aneurysm
Abdominal Pain;glaucoma
Abdominal Pain;IgA glomerulonephritis
Abdominal Pain;membranous glomerulonephritis
Abdominal Pain;dilated cardiomyopathy
Abdominal Pain;abdominal aortic aneurysm
Abdominal Pain;thoracic aortic aneurysm
Abdominal Pain;atopic dermatitis
Abdominal Pain;attention deficit hyperactivity disorder
Abdominal Pain;autistic disorder
Abdominal Pain;primary biliary cirrhosis
Abdominal Pain;vaginal cancer
Abdominal Pain;Gilles de la Tourette syndrome
Abdominal Pain;nephrolithiasis
Abdominal Pain;Barrett's esophagus
Abdominal Pain;fallopian tube cancer
